[259, 956]
[245, 981]
[222, 1044]
[244, 1022]
[280, 1006]
[292, 1005]
[292, 1005]
[292, 1005]
[959, 388]
[959, 388]
[959, 388]
[959, 388]
[959, 388]
[959, 388]
[959, 388]
[959, 388]
[1709, 887]
[1694, 897]
[1664, 939]
[1653, 961]
[1653, 961]
[1386, 346]
[1382, 303]
[1404, 335]
[1442, 402]
[1442, 402]
[1514, 606]
[1531, 663]
[1531, 663]
[1634, 933]
[1687, 926]
[1725, 940]
[1743, 954]
[1558, 790]
[1760, 918]
[1741, 900]
[1714, 898]
[1695, 914]
[1132, 626]
[1132, 626]
[1052, 384]
[1052, 384]
[1052, 384]
[1052, 384]
[1052, 384]
[1052, 384]
[487, 826]
[819, 930]
[252, 876]
[235, 896]
[266, 929]
[279, 944]
[279, 944]
[279, 944]
[616, 275]
[602, 298]
[579, 358]
[571, 381]
[571, 381]
[520, 622]
[520, 622]
[483, 818]
[483, 818]
[483, 818]
[483, 818]
[549, 380]
[558, 307]
[531, 340]
[487, 408]
[453, 478]
[401, 611]
[380, 663]
[331, 848]
[322, 837]
[312, 842]
[306, 861]
[306, 861]
[807, 362]
[807, 362]
[807, 362]
[807, 362]
[1217, 320]
[1259, 349]
[1259, 349]
[1604, 656]
[1637, 772]
[1637, 772]
[1637, 772]
[1637, 772]
[1637, 772]
[1637, 772]
[938, 606]
[951, 619]
[963, 643]
[974, 681]
[978, 692]
[977, 692]
[977, 692]
[977, 692]
[977, 692]
[977, 692]
[977, 692]
[977, 692]
[977, 692]
[943, 549]
[943, 549]
[717, 644]
[717, 644]
[717, 644]
[929, 345]
[988, 345]
[1032, 358]
[1081, 379]
[1081, 379]
[1081, 379]
[1330, 619]
