Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type,Player 1 RL World Position,Player 2 RL World Position,Ball RL World Position
3,"[[0.2908133864402771, 0.6687562465667725], [0.29177796840667725, 0.6596651673316956], [0.0, 0.0], [0.29973798990249634, 0.6531493067741394], [0.0, 0.0], [0.3200322091579437, 0.6758999824523926], [0.3093474507331848, 0.6801921129226685], [0.34008389711380005, 0.7213678956031799], [0.0, 0.0], [0.3293824791908264, 0.7571061253547668], [0.31487855315208435, 0.7567532658576965], [0.34227651357650757, 0.7782882452011108], [0.3349134624004364, 0.7788754105567932], [0.3173346519470215, 0.8466524481773376], [0.31453603506088257, 0.8461536765098572], [0.3294179141521454, 0.9329996109008789], [0.3260437548160553, 0.929142415523529]]","[[0.4195122718811035, 0.5835787653923035], [0.42286986112594604, 0.5748323202133179], [0.0, 0.0], [0.4326181411743164, 0.5774034261703491], [0.0, 0.0], [0.4287385940551758, 0.6182201504707336], [0.4597977101802826, 0.6071763634681702], [0.42268261313438416, 0.6775485873222351], [0.4768292307853699, 0.6606609225273132], [0.41571536660194397, 0.7267071008682251], [0.0, 0.0], [0.44517001509666443, 0.7169532775878906], [0.4666058421134949, 0.7128518223762512], [0.4477999806404114, 0.7967551946640015], [0.4775938093662262, 0.7885665893554688], [0.4614031910896301, 0.8813403844833374], [0.4901173710823059, 0.8677399754524231]]","[86, 319]",tight_straight drive,"[2.626, 3.232, 1.591]","[3.169, 1.469, 3.194]","[0, 0, 0]"
4,"[[0.2847106456756592, 0.667297899723053], [0.2868650555610657, 0.6588238477706909], [0.0, 0.0], [0.2957330346107483, 0.656578779220581], [0.0, 0.0], [0.31023943424224854, 0.6812319159507751], [0.2980831265449524, 0.690612256526947], [0.3348044753074646, 0.7197530269622803], [0.3151605725288391, 0.7345395684242249], [0.328255832195282, 0.7595555782318115], [0.31306779384613037, 0.7672920227050781], [0.33410727977752686, 0.774824857711792], [0.3260110318660736, 0.7771854996681213], [0.3094567358493805, 0.8510668277740479], [0.30667680501937866, 0.8515216112136841], [0.330130010843277, 0.9285402297973633], [0.32485538721084595, 0.9202396869659424]]","[[0.42192307114601135, 0.5743863582611084], [0.4253901541233063, 0.565528929233551], [0.0, 0.0], [0.4343816637992859, 0.5706421136856079], [0.0, 0.0], [0.43029600381851196, 0.6139001846313477], [0.46276625990867615, 0.6037654280662537], [0.4236723482608795, 0.6741417646408081], [0.47761550545692444, 0.6593005061149597], [0.4182361960411072, 0.7204661965370178], [0.0, 0.0], [0.4478895664215088, 0.7142760157585144], [0.4709164500236511, 0.71075439453125], [0.4504357874393463, 0.7923354506492615], [0.4828270375728607, 0.7844943404197693], [0.46294456720352173, 0.876853346824646], [0.4962572157382965, 0.8634202480316162]]","[82, 326]",tight_straight drive,"[2.564, 3.252, 1.525]","[3.179, 1.335, 3.297]","[0, 0, 0]"
5,"[[0.28470176458358765, 0.6672886610031128], [0.28684788942337036, 0.6588068008422852], [0.0, 0.0], [0.2956976592540741, 0.656578004360199], [0.0, 0.0], [0.31026118993759155, 0.6812717914581299], [0.29814788699150085, 0.6906326413154602], [0.3348170816898346, 0.7198283672332764], [0.31520140171051025, 0.7345355749130249], [0.32820984721183777, 0.7595844864845276], [0.31307607889175415, 0.7672944664955139], [0.33407455682754517, 0.7749031186103821], [0.32600969076156616, 0.7772468328475952], [0.30943018198013306, 0.8510754704475403], [0.3066616654396057, 0.8515332341194153], [0.33007511496543884, 0.928454577922821], [0.3248082399368286, 0.9202266931533813]]","[[0.42192918062210083, 0.5744963884353638], [0.4253796935081482, 0.5656250715255737], [0.0, 0.0], [0.4343011975288391, 0.5707244873046875], [0.0, 0.0], [0.430260568857193, 0.61393803358078], [0.46274733543395996, 0.6038030982017517], [0.42365461587905884, 0.6741860508918762], [0.4775846004486084, 0.6592953205108643], [0.4182352125644684, 0.7206166386604309], [0.0, 0.0], [0.44788074493408203, 0.7143059372901917], [0.47091203927993774, 0.7108100056648254], [0.4505375325679779, 0.7923875451087952], [0.4828869700431824, 0.7846131324768066], [0.4630711078643799, 0.8769580125808716], [0.49631601572036743, 0.8636494874954224]]","[82, 326]",tight_straight drive,"[2.553, 3.257, 1.513]","[3.188, 1.219, 3.385]","[0, 0, 0]"
6,"[[0.2781141400337219, 0.6689139604568481], [0.280275821685791, 0.6602181196212769], [0.0, 0.0], [0.288916677236557, 0.6583153605461121], [0.0, 0.0], [0.30663537979125977, 0.6844826340675354], [0.28745681047439575, 0.6929143071174622], [0.33231598138809204, 0.7247011661529541], [0.30248451232910156, 0.7361243367195129], [0.322570264339447, 0.7591816186904907], [0.2999585270881653, 0.7697591185569763], [0.3310248851776123, 0.7804895043373108], [0.31712573766708374, 0.7819657921791077], [0.3088293969631195, 0.8536742329597473], [0.29199203848838806, 0.8522845506668091], [0.32972198724746704, 0.9363232851028442], [0.30700844526290894, 0.9271649718284607]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4341251254081726, 0.5651466846466064], [0.0, 0.0], [0.4332512319087982, 0.6070168614387512], [0.4647034704685211, 0.5968503355979919], [0.4241744875907898, 0.6624953746795654], [0.4788665771484375, 0.6547430753707886], [0.417996883392334, 0.6936689019203186], [0.0, 0.0], [0.4523712694644928, 0.7124296426773071], [0.4743186831474304, 0.7089906334877014], [0.4515385627746582, 0.7925963401794434], [0.48001718521118164, 0.7846687436103821], [0.46053314208984375, 0.8743678331375122], [0.4915834963321686, 0.8636035323143005]]","[82, 326]",tight_straight drive,"[2.553, 3.257, 1.513]","[3.188, 1.215, 3.388]","[0, 0, 0]"
7,"[[0.2742396295070648, 0.6776752471923828], [0.2750817835330963, 0.6688194870948792], [0.0, 0.0], [0.28192001581192017, 0.6633239388465881], [0.0, 0.0], [0.29995089769363403, 0.6829873919487], [0.2898455858230591, 0.6907629370689392], [0.32530277967453003, 0.7259498834609985], [0.0, 0.0], [0.3168610632419586, 0.7577111721038818], [0.30486270785331726, 0.7535538673400879], [0.3235474228858948, 0.7796735763549805], [0.31524306535720825, 0.7823209166526794], [0.3058627247810364, 0.8462891578674316], [0.2912924885749817, 0.8480627536773682], [0.32270506024360657, 0.936067521572113], [0.29996997117996216, 0.9351200461387634]]","[[0.0, 0.0], [0.4300486147403717, 0.5525756478309631], [0.0, 0.0], [0.4375027120113373, 0.5572539567947388], [0.0, 0.0], [0.4368194043636322, 0.6008163690567017], [0.46837344765663147, 0.5906145572662354], [0.42692556977272034, 0.6567226648330688], [0.4824106693267822, 0.6518328785896301], [0.4181556701660156, 0.6741860508918762], [0.0, 0.0], [0.4539884626865387, 0.7101712822914124], [0.4758142828941345, 0.7061482071876526], [0.4518405795097351, 0.7914191484451294], [0.47951745986938477, 0.7823907732963562], [0.45950666069984436, 0.8730799555778503], [0.48877501487731934, 0.8605121374130249]]","[82, 326]",tight_straight drive,"[2.462, 3.259, 1.427]","[3.181, 1.329, 3.301]","[0, 0, 0]"
8,"[[0.2607102692127228, 0.6915985345840454], [0.2612871527671814, 0.6832177639007568], [0.0, 0.0], [0.27027079463005066, 0.6760371923446655], [0.0, 0.0], [0.2911894917488098, 0.6930335164070129], [0.2857862114906311, 0.6941114068031311], [0.3097211718559265, 0.7392203211784363], [0.0, 0.0], [0.301940381526947, 0.7644510269165039], [0.0, 0.0], [0.32012850046157837, 0.7800975441932678], [0.316275417804718, 0.7794396281242371], [0.2915404140949249, 0.8507216572761536], [0.29373466968536377, 0.8492134809494019], [0.2999831736087799, 0.9402556419372559], [0.3037089705467224, 0.9344838261604309]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.43987950682640076, 0.5546875596046448], [0.0, 0.0], [0.44079726934432983, 0.5969580411911011], [0.4701884686946869, 0.5897793769836426], [0.43010783195495605, 0.6542697548866272], [0.4796585440635681, 0.6433398723602295], [0.41559773683547974, 0.6707239747047424], [0.46565136313438416, 0.6660283207893372], [0.45713502168655396, 0.7102139592170715], [0.47706738114356995, 0.7066925168037415], [0.4525342583656311, 0.7811548709869385], [0.4789344370365143, 0.7778858542442322], [0.4610772728919983, 0.8691427707672119], [0.4875612258911133, 0.8609713315963745]]","[82, 326]",tight_straight drive,"[2.429, 3.252, 1.397]","[3.176, 1.428, 3.226]","[0, 0, 0]"
9,"[[0.254755437374115, 0.7044892907142639], [0.25482720136642456, 0.6955910325050354], [0.0, 0.0], [0.262760728597641, 0.6841235756874084], [0.0, 0.0], [0.28482526540756226, 0.6999871730804443], [0.28031277656555176, 0.6970036029815674], [0.300346702337265, 0.7478704452514648], [0.2927723228931427, 0.7469448447227478], [0.2943400740623474, 0.7818983197212219], [0.28545883297920227, 0.774520218372345], [0.3137194514274597, 0.7880157232284546], [0.3101571202278137, 0.7860838174819946], [0.28981319069862366, 0.8689960241317749], [0.2880755066871643, 0.8661596775054932], [0.29307109117507935, 0.9454584121704102], [0.2866547107696533, 0.9366210699081421]]","[[0.4325789511203766, 0.5575169920921326], [0.43536823987960815, 0.5480055809020996], [0.0, 0.0], [0.44471102952957153, 0.5502671599388123], [0.0, 0.0], [0.44438666105270386, 0.5928617715835571], [0.47448426485061646, 0.5836865305900574], [0.4318541884422302, 0.6489450931549072], [0.0, 0.0], [0.42167431116104126, 0.6580163836479187], [0.0, 0.0], [0.45890265703201294, 0.7061629295349121], [0.479438841342926, 0.7022937536239624], [0.45608600974082947, 0.7877053022384644], [0.4802972376346588, 0.7810841798782349], [0.46184873580932617, 0.8680573105812073], [0.4822167456150055, 0.8573355674743652]]","[74, 347]",tight_straight drive,"[2.449, 3.255, 1.415]","[3.173, 1.457, 3.204]","[0, 0, 0]"
10,"[[0.0, 0.0], [0.24733567237854004, 0.7031718492507935], [0.0, 0.0], [0.25206252932548523, 0.693927526473999], [0.0, 0.0], [0.2747313380241394, 0.7112517356872559], [0.27709653973579407, 0.7034773230552673], [0.29111456871032715, 0.7655133008956909], [0.2887200117111206, 0.7585669755935669], [0.2823672294616699, 0.7948598861694336], [0.2795271575450897, 0.785671055316925], [0.306973934173584, 0.7967985272407532], [0.30843764543533325, 0.793060302734375], [0.2835157513618469, 0.878745436668396], [0.2874627411365509, 0.8743124008178711], [0.28825584053993225, 0.9480219483375549], [0.289763867855072, 0.9358171224594116]]","[[0.43636947870254517, 0.5595560073852539], [0.43820586800575256, 0.5518553256988525], [0.0, 0.0], [0.44504213333129883, 0.5536674857139587], [0.0, 0.0], [0.4469110071659088, 0.5953670144081116], [0.4751144349575043, 0.5889665484428406], [0.4370696544647217, 0.6498785018920898], [0.48174962401390076, 0.6406399011611938], [0.4215795397758484, 0.6529625654220581], [0.0, 0.0], [0.4604763090610504, 0.7067131996154785], [0.4795463979244232, 0.7029933333396912], [0.454385906457901, 0.7745861411094666], [0.47886738181114197, 0.7715545892715454], [0.46226367354393005, 0.8622033596038818], [0.4856535792350769, 0.8539944291114807]]","[74, 347]",tight_straight drive,"[2.353, 3.231, 1.334]","[3.162, 1.625, 3.076]","[0, 0, 0]"
11,"[[0.0, 0.0], [0.24726331233978271, 0.7032443284988403], [0.0, 0.0], [0.2519823908805847, 0.6940361857414246], [0.0, 0.0], [0.27474457025527954, 0.7113990783691406], [0.27699485421180725, 0.7035257816314697], [0.29125112295150757, 0.7657270431518555], [0.28863394260406494, 0.758642315864563], [0.2823581099510193, 0.7949203252792358], [0.27957943081855774, 0.7856243848800659], [0.30691397190093994, 0.7970712184906006], [0.30850544571876526, 0.7932819128036499], [0.2826276421546936, 0.8789550065994263], [0.2882160544395447, 0.8744537234306335], [0.28678250312805176, 0.9481971859931946], [0.2911868989467621, 0.9358956813812256]]","[[0.4363541603088379, 0.5595595240592957], [0.4381888508796692, 0.5518578290939331], [0.0, 0.0], [0.44502824544906616, 0.5536531805992126], [0.0, 0.0], [0.4469147324562073, 0.5953147411346436], [0.47510963678359985, 0.5889224410057068], [0.43707728385925293, 0.6498081684112549], [0.48170462250709534, 0.6405811905860901], [0.42156165838241577, 0.6529684066772461], [0.0, 0.0], [0.460472047328949, 0.7066512107849121], [0.47953763604164124, 0.7029320001602173], [0.454374223947525, 0.7745445966720581], [0.4788433611392975, 0.7715148329734802], [0.4622769355773926, 0.8621071577072144], [0.4856569170951843, 0.8538996577262878]]","[74, 347]",tight_straight drive,"[2.371, 3.237, 1.349]","[3.168, 1.557, 3.128]","[0, 0, 0]"
12,"[[0.24441580474376678, 0.7290272116661072], [0.2436324805021286, 0.72087162733078], [0.0, 0.0], [0.24881163239479065, 0.7100311517715454], [0.0, 0.0], [0.2705516815185547, 0.7241165041923523], [0.2693779170513153, 0.7231080532073975], [0.28598806262016296, 0.7778234481811523], [0.2811911702156067, 0.7783514261245728], [0.27444857358932495, 0.8077431321144104], [0.26790735125541687, 0.7984315752983093], [0.3033042550086975, 0.8059220910072327], [0.29977548122406006, 0.8050139546394348], [0.2864314019680023, 0.8823317885398865], [0.2686998248100281, 0.8809733986854553], [0.3029189705848694, 0.9488406777381897], [0.2679928243160248, 0.9409388899803162]]","[[0.44201844930648804, 0.5616708993911743], [0.4446488320827484, 0.5540885329246521], [0.0, 0.0], [0.4531950056552887, 0.5539904236793518], [0.0, 0.0], [0.46170705556869507, 0.5901176333427429], [0.4662460386753082, 0.5883009433746338], [0.45935067534446716, 0.6370932459831238], [0.46293026208877563, 0.6326763033866882], [0.4435358941555023, 0.6373383402824402], [0.4396544396877289, 0.6393787860870361], [0.4713893532752991, 0.6975713968276978], [0.4753841757774353, 0.6949788331985474], [0.4623301923274994, 0.7709203958511353], [0.475048303604126, 0.7684335708618164], [0.4700847566127777, 0.8513506650924683], [0.4848826825618744, 0.8456032872200012]]","[81, 340]",tight_straight drive,"[2.379, 3.24, 1.355]","[3.168, 1.558, 3.127]","[0, 0, 0]"
13,"[[0.2434963434934616, 0.7431251406669617], [0.2438189685344696, 0.7333666682243347], [0.0, 0.0], [0.24757099151611328, 0.7237412929534912], [0.0, 0.0], [0.2681788206100464, 0.7402287125587463], [0.24641652405261993, 0.7363077998161316], [0.2895287275314331, 0.7983436584472656], [0.23688098788261414, 0.7808809280395508], [0.2662404775619507, 0.816565215587616], [0.23269319534301758, 0.8073517084121704], [0.2940065264701843, 0.8199191689491272], [0.27895328402519226, 0.8177614808082581], [0.2741524875164032, 0.8935285806655884], [0.25603967905044556, 0.8865360021591187], [0.29956746101379395, 0.9558059573173523], [0.265072762966156, 0.9484781622886658]]","[[0.44223031401634216, 0.5599845051765442], [0.44494324922561646, 0.5524777173995972], [0.0, 0.0], [0.45386046171188354, 0.5540328621864319], [0.0, 0.0], [0.459850549697876, 0.591862678527832], [0.47512364387512207, 0.5868281722068787], [0.45670086145401, 0.6428391933441162], [0.0, 0.0], [0.4443535804748535, 0.6460641026496887], [0.0, 0.0], [0.47207218408584595, 0.6952193379402161], [0.4834097921848297, 0.6914414167404175], [0.4587605893611908, 0.7629626989364624], [0.4804229140281677, 0.759431779384613], [0.4652992784976959, 0.8431480526924133], [0.4905087947845459, 0.835762619972229]]","[85, 337]",tight_straight drive,"[2.241, 3.176, 1.248]","[3.165, 1.635, 3.069]","[0, 0, 0]"
14,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.23464414477348328, 0.7337134480476379], [0.0, 0.0], [0.25068193674087524, 0.7562005519866943], [0.2564726769924164, 0.7290346622467041], [0.267428457736969, 0.8008958697319031], [0.26719871163368225, 0.7281134724617004], [0.2547108232975006, 0.8092851638793945], [0.2654232382774353, 0.7306325435638428], [0.2884763181209564, 0.8259454369544983], [0.2888158857822418, 0.8143965601921082], [0.27349501848220825, 0.8993474245071411], [0.25818437337875366, 0.8801570534706116], [0.301689088344574, 0.9529350399971008], [0.26222220063209534, 0.934985876083374]]","[[0.44299060106277466, 0.5583373308181763], [0.4458354115486145, 0.5509641170501709], [0.0, 0.0], [0.4560142457485199, 0.552117645740509], [0.0, 0.0], [0.46356287598609924, 0.5869850516319275], [0.47197380661964417, 0.5845311284065247], [0.4631441533565521, 0.6350327134132385], [0.0, 0.0], [0.4509955942630768, 0.6351407170295715], [0.0, 0.0], [0.4750820994377136, 0.6869332790374756], [0.4823280870914459, 0.6840881109237671], [0.45752233266830444, 0.7502520084381104], [0.4777156710624695, 0.7473226189613342], [0.46573907136917114, 0.8297787308692932], [0.4913310408592224, 0.8237636089324951]]","[85, 337]",tight_straight drive,"[2.229, 3.167, 1.24]","[3.175, 1.587, 3.108]","[0, 0, 0]"
15,"[[0.22814206779003143, 0.7567107081413269], [0.22867067158222198, 0.7485062479972839], [0.0, 0.0], [0.233908012509346, 0.7433127760887146], [0.0, 0.0], [0.25187796354293823, 0.7604207992553711], [0.24475757777690887, 0.7729060053825378], [0.27711865305900574, 0.7842085957527161], [0.25982236862182617, 0.8196836709976196], [0.2711030840873718, 0.794992208480835], [0.24477434158325195, 0.8486968278884888], [0.2842674255371094, 0.8438626527786255], [0.2794259786605835, 0.8492688536643982], [0.26421186327934265, 0.8939349055290222], [0.25739505887031555, 0.8972274661064148], [0.2843479514122009, 0.9530655741691589], [0.27290523052215576, 0.9549480080604553]]","[[0.44371843338012695, 0.5530326962471008], [0.44690364599227905, 0.5459791421890259], [0.0, 0.0], [0.45641881227493286, 0.5489017963409424], [0.0, 0.0], [0.46029168367385864, 0.5859397053718567], [0.47970882058143616, 0.5806757211685181], [0.4585283398628235, 0.6403518915176392], [0.0, 0.0], [0.4497300088405609, 0.6470937728881836], [0.0, 0.0], [0.4739922881126404, 0.6811493635177612], [0.48833101987838745, 0.6771689653396606], [0.45124760270118713, 0.7405558228492737], [0.4788399636745453, 0.7364740371704102], [0.45979008078575134, 0.8261488080024719], [0.49423107504844666, 0.8184286952018738]]","[85, 337]",tight_straight drive,"[2.197, 3.151, 1.217]","[3.174, 1.671, 3.046]","[0, 0, 0]"
16,"[[0.23050709068775177, 0.7690415382385254], [0.2319307029247284, 0.7620919346809387], [0.0, 0.0], [0.23821230232715607, 0.7566157579421997], [0.0, 0.0], [0.2544148862361908, 0.7750278115272522], [0.2483096569776535, 0.7722220420837402], [0.2590154707431793, 0.8200508952140808], [0.0, 0.0], [0.24883750081062317, 0.8525428175926208], [0.24734580516815186, 0.8533409237861633], [0.2872587740421295, 0.8432965874671936], [0.2847512662410736, 0.8419271111488342], [0.2498425543308258, 0.8871601819992065], [0.26269203424453735, 0.8841515183448792], [0.26855677366256714, 0.9544066786766052], [0.28947997093200684, 0.945676326751709]]","[[0.44333967566490173, 0.548110842704773], [0.44659408926963806, 0.5409854650497437], [0.0, 0.0], [0.4564976692199707, 0.543438196182251], [0.0, 0.0], [0.45773714780807495, 0.5788278579711914], [0.47908830642700195, 0.5742545127868652], [0.45641279220581055, 0.628180980682373], [0.49699416756629944, 0.6213973760604858], [0.45710858702659607, 0.64915931224823], [0.0, 0.0], [0.4733118414878845, 0.6740269660949707], [0.4879171848297119, 0.6713423132896423], [0.45758533477783203, 0.740025520324707], [0.48198509216308594, 0.7372910976409912], [0.46363240480422974, 0.8235599994659424], [0.4916793406009674, 0.817942202091217]]","[97, 335]",tight_straight lob,"[2.285, 3.196, 1.281]","[3.179, 1.671, 3.046]","[0, 0, 0]"
17,"[[0.2305239737033844, 0.7690576314926147], [0.2319561243057251, 0.7621126174926758], [0.0, 0.0], [0.23828402161598206, 0.7566255927085876], [0.0, 0.0], [0.25448405742645264, 0.775091826915741], [0.24837660789489746, 0.7721651792526245], [0.25897783041000366, 0.8205074071884155], [0.0, 0.0], [0.248805433511734, 0.8532378077507019], [0.2474071979522705, 0.8533899784088135], [0.28732985258102417, 0.843245804309845], [0.2847958505153656, 0.8418209552764893], [0.2499244660139084, 0.887135922908783], [0.2626403272151947, 0.8840867877006531], [0.268684446811676, 0.9544552564620972], [0.28935104608535767, 0.9456478357315063]]","[[0.4433800280094147, 0.5481047034263611], [0.4466465413570404, 0.5409772992134094], [0.0, 0.0], [0.4566102921962738, 0.5434350967407227], [0.0, 0.0], [0.45789775252342224, 0.5788415670394897], [0.4789268374443054, 0.5743595361709595], [0.45663008093833923, 0.6281053423881531], [0.496833860874176, 0.6214631199836731], [0.45727992057800293, 0.6488749384880066], [0.0, 0.0], [0.4733545780181885, 0.6740143895149231], [0.48773127794265747, 0.6713714599609375], [0.45778417587280273, 0.7401683330535889], [0.4819152355194092, 0.737483024597168], [0.46382856369018555, 0.8234805464744568], [0.49153628945350647, 0.8179287314414978]]","[97, 335]",tight_straight drive,"[2.377, 3.236, 1.354]","[3.174, 1.713, 3.014]","[0, 0, 0]"
18,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.23164251446723938, 0.7495488524436951], [0.0, 0.0], [0.2447001188993454, 0.7764893174171448], [0.25329914689064026, 0.76329106092453], [0.2518447935581207, 0.8459586501121521], [0.25647321343421936, 0.8176237344741821], [0.2414495050907135, 0.8837703466415405], [0.24338765442371368, 0.8602792620658875], [0.2820397913455963, 0.8472832441329956], [0.29087933897972107, 0.8407334089279175], [0.23936280608177185, 0.9082412719726562], [0.2673504650592804, 0.8960303664207458], [0.2592964172363281, 0.9645348191261292], [0.2971824109554291, 0.9489048719406128]]","[[0.447929322719574, 0.5359935164451599], [0.4513695240020752, 0.5284408330917358], [0.0, 0.0], [0.46018093824386597, 0.5304892063140869], [0.0, 0.0], [0.4648999273777008, 0.5652332901954651], [0.47077593207359314, 0.5640175938606262], [0.47822481393814087, 0.6088408827781677], [0.4915499687194824, 0.6072381138801575], [0.4840793013572693, 0.6327804327011108], [0.4970317482948303, 0.6208268404006958], [0.4773501455783844, 0.6646877527236938], [0.48317423462867737, 0.6636239290237427], [0.4576961398124695, 0.7341778874397278], [0.48168015480041504, 0.7328475713729858], [0.46190375089645386, 0.818355917930603], [0.4947531819343567, 0.8147408366203308]]","[97, 335]",tight_straight drive,"[2.376, 3.236, 1.353]","[3.174, 1.715, 3.013]","[0, 0, 0]"
