[86, 318]
[82, 327]
[74, 348]
[81, 340]
[93, 335]
[97, 335]
[97, 335]
[97, 335]
[319, 129]
[319, 129]
[319, 129]
[319, 129]
[319, 129]
[319, 129]
[319, 129]
[319, 129]
[569, 295]
[564, 299]
[554, 313]
[551, 320]
[551, 320]
[462, 115]
[460, 101]
[468, 111]
[480, 134]
[480, 134]
[504, 202]
[510, 221]
[510, 221]
[544, 311]
[562, 308]
[575, 313]
[581, 318]
[519, 263]
[587, 306]
[580, 300]
[571, 299]
[565, 305]
[377, 208]
[377, 208]
[350, 127]
[350, 127]
[350, 127]
[350, 127]
[350, 127]
[350, 127]
[162, 275]
[162, 275]
[84, 292]
[78, 298]
[88, 309]
[93, 315]
[93, 315]
[93, 315]
[205, 91]
[200, 99]
[193, 119]
[190, 127]
[190, 127]
[173, 207]
[173, 207]
[161, 272]
[161, 272]
[161, 272]
[161, 272]
[183, 127]
[186, 102]
[177, 113]
[162, 136]
[151, 159]
[133, 203]
[126, 221]
[110, 282]
[107, 279]
[104, 280]
[102, 287]
[102, 287]
[269, 120]
[269, 120]
[269, 120]
[269, 120]
[406, 106]
[419, 116]
[419, 116]
[534, 218]
[545, 257]
[545, 257]
[545, 257]
[545, 257]
[545, 257]
[442, 334]
[423, 343]
[317, 206]
[321, 214]
[325, 226]
[326, 230]
[325, 230]
[325, 230]
[325, 230]
[325, 230]
[325, 230]
[325, 230]
[325, 230]
[325, 230]
[314, 183]
[314, 183]
[239, 214]
[239, 214]
[239, 214]
[309, 114]
[329, 115]
[344, 119]
[360, 126]
[360, 126]
[360, 126]
[443, 206]
[456, 221]
[443, 115]
[454, 118]
[465, 133]
[465, 133]
[492, 180]
[492, 180]
[492, 180]
[548, 270]
[552, 272]
[558, 283]
[561, 297]
[563, 306]
[524, 193]
[493, 142]
[477, 120]
[469, 117]
[471, 131]
[471, 131]
[471, 131]
[471, 131]
[471, 131]
[471, 131]
[471, 131]
[497, 223]
[497, 223]
[497, 223]
[497, 223]
[497, 223]
[497, 223]
[497, 223]
[484, 172]
[491, 178]
[496, 186]
[496, 186]
[496, 186]
[496, 186]
[496, 186]
[490, 167]
[490, 167]
[470, 122]
[468, 119]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[470, 122]
[289, 235]
[288, 234]
[58, 113]
[58, 113]
[58, 114]
[119, 234]
[58, 114]
[58, 114]
[58, 114]
[58, 114]
[58, 114]
[135, 220]
[289, 235]
[289, 234]
[211, 234]
[58, 113]
[211, 233]
[211, 233]
[211, 234]
[196, 268]
[267, 185]
[205, 268]
[209, 280]
[213, 281]
[218, 289]
[222, 293]
[227, 299]
[231, 303]
[211, 234]
[40, 351]
[206, 208]
[202, 206]
[199, 206]
[199, 207]
[198, 214]
[289, 234]
[58, 114]
[605, 328]
[40, 351]
[40, 351]
[221, 190]
[391, 40]
[442, 317]
[445, 315]
[445, 315]
[445, 315]
[513, 119]
[525, 133]
[553, 203]
[549, 219]
[539, 257]
[539, 257]
[211, 234]
[211, 234]
[479, 337]
[470, 323]
[457, 309]
[453, 306]
[435, 311]
[427, 320]
[341, 219]
[335, 219]
[334, 113]
[325, 100]
[312, 111]
[303, 124]
[293, 138]
[293, 138]
[262, 208]
[262, 208]
[225, 176]
[225, 176]
[225, 176]
[225, 176]
[225, 176]
[169, 191]
[153, 191]
[144, 196]
[144, 205]
[143, 215]
[143, 215]
[95, 221]
[235, 61]
[249, 35]
[249, 35]
[249, 35]
[295, 207]
[295, 207]
[295, 207]
[295, 207]
[295, 207]
[295, 207]
[295, 207]
[468, 19]
[504, 72]
[529, 117]
[568, 196]
[568, 196]
[577, 331]
[577, 331]
[577, 331]
[577, 331]
[577, 331]
[516, 351]
[516, 351]
[516, 351]
[516, 351]
[464, 96]
[471, 47]
[486, 43]
[500, 45]
[500, 51]
[498, 68]
[497, 84]
[495, 120]
[495, 134]
[493, 167]
[493, 167]
[432, 80]
[433, 76]
[446, 100]
[453, 119]
[457, 131]
