Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type
2,"[[    0.29678     0.66555]
 [    0.29854     0.65713]
 [          0           0]
 [    0.30716     0.65143]
 [          0           0]
 [    0.32733     0.67632]
 [    0.31577     0.67907]
 [    0.34931     0.72265]
 [          0           0]
 [    0.33535     0.75613]
 [    0.30726     0.75279]
 [    0.34435      0.7749]
 [    0.33705     0.77438]
 [    0.32351     0.84834]
 [    0.32117      0.8472]
 [    0.34168      0.9321]
 [    0.33864     0.92666]]","[[    0.41713     0.58217]
 [    0.42029     0.57458]
 [          0           0]
 [    0.42922     0.57573]
 [          0           0]
 [    0.43103     0.61558]
 [    0.45814     0.61015]
 [    0.42575     0.67608]
 [    0.47258     0.66711]
 [    0.41409       0.726]
 [    0.46438     0.71893]
 [    0.44677     0.72022]
 [    0.46497     0.71779]
 [     0.4476     0.79642]
 [    0.46771     0.79367]
 [    0.46452     0.87986]
 [    0.48445     0.87223]]","[91, 311]",straight drive
3,"[[    0.29081     0.66876]
 [    0.29178     0.65967]
 [          0           0]
 [    0.29974     0.65315]
 [          0           0]
 [    0.32003      0.6759]
 [    0.30935     0.68019]
 [    0.34008     0.72137]
 [          0           0]
 [    0.32938     0.75711]
 [    0.31488     0.75675]
 [    0.34228     0.77829]
 [    0.33491     0.77888]
 [    0.31733     0.84665]
 [    0.31454     0.84615]
 [    0.32942       0.933]
 [    0.32604     0.92914]]","[[    0.41951     0.58358]
 [    0.42287     0.57483]
 [          0           0]
 [    0.43262      0.5774]
 [          0           0]
 [    0.42874     0.61822]
 [     0.4598     0.60718]
 [    0.42268     0.67755]
 [    0.47683     0.66066]
 [    0.41572     0.72671]
 [          0           0]
 [    0.44517     0.71695]
 [    0.46661     0.71285]
 [     0.4478     0.79676]
 [    0.47759     0.78857]
 [     0.4614     0.88134]
 [    0.49012     0.86774]]","[86, 319]",tight_straight drive
4,"[[    0.28471      0.6673]
 [    0.28687     0.65882]
 [          0           0]
 [    0.29573     0.65658]
 [          0           0]
 [    0.31024     0.68123]
 [    0.29808     0.69061]
 [     0.3348     0.71975]
 [    0.31516     0.73454]
 [    0.32826     0.75956]
 [    0.31307     0.76729]
 [    0.33411     0.77482]
 [    0.32601     0.77719]
 [    0.30946     0.85107]
 [    0.30668     0.85152]
 [    0.33013     0.92854]
 [    0.32486     0.92024]]","[[    0.42192     0.57439]
 [    0.42539     0.56553]
 [          0           0]
 [    0.43438     0.57064]
 [          0           0]
 [     0.4303      0.6139]
 [    0.46277     0.60377]
 [    0.42367     0.67414]
 [    0.47762      0.6593]
 [    0.41824     0.72047]
 [          0           0]
 [    0.44789     0.71428]
 [    0.47092     0.71075]
 [    0.45044     0.79234]
 [    0.48283     0.78449]
 [    0.46294     0.87685]
 [    0.49626     0.86342]]","[82, 326]",tight_straight drive
5,"[[     0.2847     0.66729]
 [    0.28685     0.65881]
 [          0           0]
 [     0.2957     0.65658]
 [          0           0]
 [    0.31026     0.68127]
 [    0.29815     0.69063]
 [    0.33482     0.71983]
 [     0.3152     0.73454]
 [    0.32821     0.75958]
 [    0.31308     0.76729]
 [    0.33407      0.7749]
 [    0.32601     0.77725]
 [    0.30943     0.85108]
 [    0.30666     0.85153]
 [    0.33008     0.92845]
 [    0.32481     0.92023]]","[[    0.42193      0.5745]
 [    0.42538     0.56563]
 [          0           0]
 [     0.4343     0.57072]
 [          0           0]
 [    0.43026     0.61394]
 [    0.46275      0.6038]
 [    0.42365     0.67419]
 [    0.47758      0.6593]
 [    0.41824     0.72062]
 [          0           0]
 [    0.44788     0.71431]
 [    0.47091     0.71081]
 [    0.45054     0.79239]
 [    0.48289     0.78461]
 [    0.46307     0.87696]
 [    0.49632     0.86365]]","[82, 326]",tight_straight drive
6,"[[    0.27811     0.66891]
 [    0.28028     0.66022]
 [          0           0]
 [    0.28892     0.65832]
 [          0           0]
 [    0.30664     0.68448]
 [    0.28746     0.69291]
 [    0.33232      0.7247]
 [    0.30248     0.73612]
 [    0.32257     0.75918]
 [    0.29996     0.76976]
 [    0.33102     0.78049]
 [    0.31713     0.78197]
 [    0.30883     0.85367]
 [    0.29199     0.85228]
 [    0.32972     0.93632]
 [    0.30701     0.92716]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.43413     0.56515]
 [          0           0]
 [    0.43325     0.60702]
 [     0.4647     0.59685]
 [    0.42417      0.6625]
 [    0.47887     0.65474]
 [      0.418     0.69367]
 [          0           0]
 [    0.45237     0.71243]
 [    0.47432     0.70899]
 [    0.45154      0.7926]
 [    0.48002     0.78467]
 [    0.46053     0.87437]
 [    0.49158      0.8636]]","[82, 326]",tight_straight drive
7,"[[    0.27424     0.67768]
 [    0.27508     0.66882]
 [          0           0]
 [    0.28192     0.66332]
 [          0           0]
 [    0.29995     0.68299]
 [    0.28985     0.69076]
 [     0.3253     0.72595]
 [          0           0]
 [    0.31686     0.75771]
 [    0.30486     0.75355]
 [    0.32355     0.77967]
 [    0.31524     0.78232]
 [    0.30586     0.84629]
 [    0.29129     0.84806]
 [    0.32271     0.93607]
 [    0.29997     0.93512]]","[[          0           0]
 [    0.43005     0.55258]
 [          0           0]
 [     0.4375     0.55725]
 [          0           0]
 [    0.43682     0.60082]
 [    0.46837     0.59061]
 [    0.42693     0.65672]
 [    0.48241     0.65183]
 [    0.41816     0.67419]
 [          0           0]
 [    0.45399     0.71017]
 [    0.47581     0.70615]
 [    0.45184     0.79142]
 [    0.47952     0.78239]
 [    0.45951     0.87308]
 [    0.48878     0.86051]]","[82, 326]",tight_straight drive
8,"[[    0.26071      0.6916]
 [    0.26129     0.68322]
 [          0           0]
 [    0.27027     0.67604]
 [          0           0]
 [    0.29119     0.69303]
 [    0.28579     0.69411]
 [    0.30972     0.73922]
 [          0           0]
 [    0.30194     0.76445]
 [          0           0]
 [    0.32013      0.7801]
 [    0.31628     0.77944]
 [    0.29154     0.85072]
 [    0.29373     0.84921]
 [    0.29998     0.94026]
 [    0.30371     0.93448]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.43988     0.55469]
 [          0           0]
 [     0.4408     0.59696]
 [    0.47019     0.58978]
 [    0.43011     0.65427]
 [    0.47966     0.64334]
 [     0.4156     0.67072]
 [    0.46565     0.66603]
 [    0.45714     0.71021]
 [    0.47707     0.70669]
 [    0.45253     0.78115]
 [    0.47893     0.77789]
 [    0.46108     0.86914]
 [    0.48756     0.86097]]","[82, 326]",tight_straight drive
9,"[[    0.25476     0.70449]
 [    0.25483     0.69559]
 [          0           0]
 [    0.26276     0.68412]
 [          0           0]
 [    0.28483     0.69999]
 [    0.28031       0.697]
 [    0.30035     0.74787]
 [    0.29277     0.74694]
 [    0.29434      0.7819]
 [    0.28546     0.77452]
 [    0.31372     0.78802]
 [    0.31016     0.78608]
 [    0.28981       0.869]
 [    0.28808     0.86616]
 [    0.29307     0.94546]
 [    0.28665     0.93662]]","[[    0.43258     0.55752]
 [    0.43537     0.54801]
 [          0           0]
 [    0.44471     0.55027]
 [          0           0]
 [    0.44439     0.59286]
 [    0.47448     0.58369]
 [    0.43185     0.64895]
 [          0           0]
 [    0.42167     0.65802]
 [          0           0]
 [     0.4589     0.70616]
 [    0.47944     0.70229]
 [    0.45609     0.78771]
 [     0.4803     0.78108]
 [    0.46185     0.86806]
 [    0.48222     0.85734]]","[74, 347]",tight_straight drive
10,"[[          0           0]
 [    0.24734     0.70317]
 [          0           0]
 [    0.25206     0.69393]
 [          0           0]
 [    0.27473     0.71125]
 [     0.2771     0.70348]
 [    0.29111     0.76551]
 [    0.28872     0.75857]
 [    0.28237     0.79486]
 [    0.27953     0.78567]
 [    0.30697      0.7968]
 [    0.30844     0.79306]
 [    0.28352     0.87875]
 [    0.28746     0.87431]
 [    0.28826     0.94802]
 [    0.28976     0.93582]]","[[    0.43637     0.55956]
 [    0.43821     0.55186]
 [          0           0]
 [    0.44504     0.55367]
 [          0           0]
 [    0.44691     0.59537]
 [    0.47511     0.58897]
 [    0.43707     0.64988]
 [    0.48175     0.64064]
 [    0.42158     0.65296]
 [          0           0]
 [    0.46048     0.70671]
 [    0.47955     0.70299]
 [    0.45439     0.77459]
 [    0.47887     0.77155]
 [    0.46226      0.8622]
 [    0.48565     0.85399]]","[74, 347]",tight_straight drive
11,"[[          0           0]
 [    0.24726     0.70324]
 [          0           0]
 [    0.25198     0.69404]
 [          0           0]
 [    0.27474      0.7114]
 [    0.27699     0.70353]
 [    0.29125     0.76573]
 [    0.28863     0.75864]
 [    0.28236     0.79492]
 [    0.27958     0.78562]
 [    0.30691     0.79707]
 [    0.30851     0.79328]
 [    0.28263     0.87896]
 [    0.28822     0.87445]
 [    0.28678      0.9482]
 [    0.29119      0.9359]]","[[    0.43635     0.55956]
 [    0.43819     0.55186]
 [          0           0]
 [    0.44503     0.55365]
 [          0           0]
 [    0.44691     0.59531]
 [    0.47511     0.58892]
 [    0.43708     0.64981]
 [     0.4817     0.64058]
 [    0.42156     0.65297]
 [          0           0]
 [    0.46047     0.70665]
 [    0.47954     0.70293]
 [    0.45437     0.77454]
 [    0.47884     0.77151]
 [    0.46228     0.86211]
 [    0.48566      0.8539]]","[74, 347]",tight_straight drive
